ID,Organisation,Country,Latitude,Longitude
339,Arianespace,France,46.227638,2.213749
340,SpaceX,USA,37.09024,-95.712891
341,SpaceX,USA,37.09024,-95.712891
342,VKS RF,Russia,61.52401,105.318756
343,ISRO,India,20.593684,78.96288
344,CASC,China,35.86166,104.195397
345,CASC,China,35.86166,104.195397
346,Roscosmos,Kazakhstan,48.019573,66.923684
347,ILS,Kazakhstan,48.019573,66.923684
348,ISRO,India,20.593684,78.96288
349,SpaceX,USA,37.09024,-95.712891
350,Arianespace,France,46.227638,2.213749
351,MHI,Japan,36.204824,138.252924
352,VKS RF,Russia,61.52401,105.318756
353,Rocket Lab,New Zealand,-40.900557,174.885971
354,Arianespace,France,46.227638,2.213749
355,SpaceX,USA,37.09024,-95.712891
356,ISRO,India,20.593684,78.96288
357,Arianespace,France,46.227638,2.213749
358,SpaceX,USA,37.09024,-95.712891
359,CASC,China,35.86166,104.195397
360,Roscosmos,Kazakhstan,48.019573,66.923684
361,ULA,USA,37.09024,-95.712891
362,CASC,China,35.86166,104.195397
363,SpaceX,USA,37.09024,-95.712891
364,ULA,USA,37.09024,-95.712891
365,MHI,Japan,36.204824,138.252924
366,SpaceX,USA,37.09024,-95.712891
367,Arianespace,France,46.227638,2.213749
368,CASIC,China,35.86166,104.195397
369,ULA,USA,37.09024,-95.712891
370,Roscosmos,Kazakhstan,48.019573,66.923684
371,SpaceX,USA,37.09024,-95.712891
372,ISRO,India,20.593684,78.96288
373,Arianespace,France,46.227638,2.213749
374,Arianespace,France,46.227638,2.213749
375,MHI,Japan,36.204824,138.252924
376,ULA,USA,37.09024,-95.712891
377,JAXA,Japan,36.204824,138.252924
378,SpaceX,USA,37.09024,-95.712891
379,ExPace,China,35.86166,104.195397
380,CASC,China,35.86166,104.195397
381,CASC,China,35.86166,104.195397
382,Arianespace,France,46.227638,2.213749
383,CASC,China,35.86166,104.195397
384,JAXA,Japan,36.204824,138.252924
385,ULA,USA,37.09024,-95.712891
386,Northrop,USA,37.09024,-95.712891
387,CASC,China,35.86166,104.195397
388,MHI,Japan,36.204824,138.252924
389,ULA,USA,37.09024,-95.712891
390,ISRO,India,20.593684,78.96288
