ID,Organisation,Country,Latitude,Longitude,Year
430,Arianespace,France,46.227638,2.213749,2016
431,SpaceX,USA,37.09024,-95.712891,2016
432,CASC,China,35.86166,104.195397,2016
433,ULA,USA,37.09024,-95.712891,2016
434,ILS,Kazakhstan,48.019573,66.923684,2016
435,VKS RF,Russia,61.52401,105.318756,2016
436,CASC,China,35.86166,104.195397,2016
437,VKS RF,Russia,61.52401,105.318756,2016
438,SpaceX,USA,37.09024,-95.712891,2016
439,Arianespace,France,46.227638,2.213749,2016
440,CASC,China,35.86166,104.195397,2016
441,SpaceX,USA,37.09024,-95.712891,2016
442,ISRO,India,20.593684,78.96288,2016
443,Roscosmos,Russia,61.52401,105.318756,2016
444,Arianespace,France,46.227638,2.213749,2016
445,SpaceX,USA,37.09024,-95.712891,2016
446,CASC,China,35.86166,104.195397,2016
447,Blue Origin,USA,37.09024,-95.712891,2016
448,Roscosmos,Kazakhstan,48.019573,66.923684,2016
449,CASC,China,35.86166,104.195397,2016
450,VKS RF,Russia,61.52401,105.318756,2016
451,ULA,USA,37.09024,-95.712891,2016
452,Roscosmos,Kazakhstan,48.019573,66.923684,2016
453,Roscosmos,Kazakhstan,48.019573,66.923684,2016
454,Roscosmos,Kazakhstan,48.019573,66.923684,2016
455,ISRO,India,20.593684,78.96288,2016
456,Arianespace,France,46.227638,2.213749,2016
457,SpaceX,USA,37.09024,-95.712891,2016
458,MHI,Japan,36.204824,138.252924,2016
459,Eurockot,Russia,61.52401,105.318756,2016
460,ULA,USA,37.09024,-95.712891,2016
461,KCST,North Korea,40.339852,127.510093,2016
462,VKS RF,Russia,61.52401,105.318756,2016
463,ULA,USA,37.09024,-95.712891,2016
464,CASC,China,35.86166,104.195397,2016
465,ILS,Kazakhstan,48.019573,66.923684,2016
466,Arianespace,France,46.227638,2.213749,2016
467,Blue Origin,USA,37.09024,-95.712891,2016
468,ISRO,India,20.593684,78.96288,2016
469,SpaceX,USA,37.09024,-95.712891,2016
470,CASC,China,35.86166,104.195397,2016
471,SpaceX,USA,37.09024,-95.712891,2015
472,Arianespace,France,46.227638,2.213749,2015
473,ISRO,India,20.593684,78.96288,2015
474,Roscosmos,Kazakhstan,48.019573,66.923684,2015
475,ULA,USA,37.09024,-95.712891,2015
476,VKS RF,Russia,61.52401,105.318756,2015
477,Arianespace,France,46.227638,2.213749,2015
478,MHI,Japan,36.204824,138.252924,2015
479,Blue Origin,USA,37.09024,-95.712891,2015
480,Arianespace,France,46.227638,2.213749,2015
481,Sandia,Pacific Missile Range Facility,,,2015
