ID,Organisation,Location,Detail,Rocket_Status,Price(USDbillion),Mission_Status,New_Date,Year,Months,Country,Latitude,Longitude
63,CASC,"LC-101, Wenchang Satellite Launch Center, China",Long March 5 | Shijian-20,StatusActive,,Success,12/27/2019,2019,December,China,35.86166,104.195397
64,VKS RF,"Site 133/3, Plesetsk Cosmodrome, Russia","Rokot/Briz KM | Gonets-M ???24, 25, 26 [block-15] & Blits-M1",StatusRetired,$41.80 ,Success,12/26/2019,2019,December,Russia,61.52401,105.318756
65,Roscosmos,"Site 81/24, Baikonur Cosmodrome, Kazakhstan",Proton-M/DM-3 | Elektro-L n†­3,StatusActive,$65.00 ,Success,12/24/2019,2019,December,Kazakhstan,48.019573,66.923684
66,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",Atlas V N22 | Starliner OFT,StatusActive,,Success,12/20/2019,2019,December,USA,37.09024,-95.712891
67,CASC,"LC-9, Taiyuan Satellite Launch Center, China","Long March 4B | CBERS-4A, ETRSS-1 & Others",StatusActive,$64.68 ,Success,12/20/2019,2019,December,China,35.86166,104.195397
68,Arianespace,"ELS, Guiana Space Centre, French Guiana, France","Soyuz ST-A/Fregat-M | CSG-1, CHEOPS & Others",StatusActive,,Success,12/18/2019,2019,December,France,46.227638,2.213749
69,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",Falcon 9 Block 5 | JCSAT-18 / Kacific-1,StatusActive,$50.00 ,Success,12/17/2019,2019,December,USA,37.09024,-95.712891
70,CASC,"LC-3, Xichang Satellite Launch Center, China",Long March 3B/YZ-1 | BeiDou-3 M19 & M20,StatusActive,,Success,12/16/2019,2019,December,China,35.86166,104.195397
71,Blue Origin,"Blue Origin Launch Site, West Texas, Texas, USA",New Shepard | NS-12,StatusActive,,Success,12/11/2019,2019,December,USA,37.09024,-95.712891
72,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",PSLV-QL | RISAT 2BR1,StatusActive,$21.00 ,Success,12/11/2019,2019,December,India,20.593684,78.96288
73,VKS RF,"Site 43/3, Plesetsk Cosmodrome, Russia",Soyuz 2.1b/Fregat | Cosmos 2544,StatusActive,$48.50 ,Success,12/11/2019,2019,December,Russia,61.52401,105.318756
74,ExPace,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",Kuaizhou 1A | HEAD-2A/B / SpaceTY 16/17 / Tianqi 4A/B,StatusActive,,Success,12/7/2019,2019,December,China,35.86166,104.195397
75,ExPace,"Taiyuan Satellite Launch Center, China",Kuaizhou 1A | Jilin-1 Gaofen-02B,StatusActive,,Success,12/7/2019,2019,December,China,35.86166,104.195397
76,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Soyuz 2.1a | Progress MS-13 (74P),StatusActive,$48.50 ,Success,12/6/2019,2019,December,Kazakhstan,48.019573,66.923684
77,Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",Electron/Curie | Running Out Of Fingers,StatusActive,$7.50 ,Success,12/6/2019,2019,December,New Zealand,-40.900557,174.885971
78,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",Falcon 9 Block 5 | CRS-19,StatusActive,$50.00 ,Success,12/5/2019,2019,December,USA,37.09024,-95.712891
79,CASC,"LC-9, Taiyuan Satellite Launch Center, China",Long March 4C | Gaofen-12,StatusActive,$64.68 ,Success,11/27/2019,2019,November,China,35.86166,104.195397
80,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",PSLV-XL | Cartosat-3 & Rideshares,StatusActive,$31.00 ,Success,11/27/2019,2019,November,India,20.593684,78.96288
81,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",Ariane 5 ECA | Inmarsat 5 F5 & TIBA-1,StatusActive,$200.00 ,Success,11/26/2019,2019,November,France,46.227638,2.213749
82,VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",Soyuz 2.1v/Volga | Cosmos 2542 & 2543,StatusActive,,Success,11/25/2019,2019,November,Russia,61.52401,105.318756
83,CASC,"LC-3, Xichang Satellite Launch Center, China",Long March 3B/YZ-1 | BeiDou-3 M21 & M22,StatusActive,,Success,11/23/2019,2019,November,China,35.86166,104.195397
84,ExPace,"Site 95, Jiuquan Satellite Launch Center, China","Kuaizhou 1A | KL-Alpha A, KL-Alpha B",StatusActive,,Success,11/17/2019,2019,November,China,35.86166,104.195397
85,CASC,"LC-16, Taiyuan Satellite Launch Center, China",Long March 6 | Ningxia-1 (x5),StatusActive,,Success,11/13/2019,2019,November,China,35.86166,104.195397
86,ExPace,"Site 95, Jiuquan Satellite Launch Center, China",Kuaizhou 1A | Jilin 1-02A,StatusActive,,Success,11/13/2019,2019,November,China,35.86166,104.195397
87,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",Falcon 9 Block 5 | Starlink V1 L1,StatusActive,$50.00 ,Success,11/11/2019,2019,November,USA,37.09024,-95.712891
88,CASC,"LC-2, Xichang Satellite Launch Center, China",Long March 3B/E | Beidou-3 IGSO-3,StatusActive,$29.15 ,Success,11/4/2019,2019,November,China,35.86166,104.195397
89,CASC,"LC-9, Taiyuan Satellite Launch Center, China",Long March 4B | Gaofen-7,StatusActive,$64.68 ,Success,11/3/2019,2019,November,China,35.86166,104.195397
90,Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",Antares 230+ | CRS NG-12,StatusActive,$85.00 ,Success,11/2/2019,2019,November,USA,37.09024,-95.712891
91,Exos,"Vertical Launch Area, Spaceport America, New Mexico",SARGE | Launch 4,StatusActive,,Failure,10/26/2019,2019,October,New Mexico,,
92,CASC,"LC-3, Xichang Satellite Launch Center, China",Long March 3B/E | TJSW-4,StatusActive,$29.15 ,Success,10/17/2019,2019,October,China,35.86166,104.195397
93,Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",Electron/Curie | As The Crow Flies,StatusActive,$7.50 ,Success,10/17/2019,2019,October,New Zealand,-40.900557,174.885971
94,Northrop,"Stargazer, Cape Canaveral AFS, Florida, USA",Pegasus XL | ICON,StatusActive,$40.00 ,Success,10/11/2019,2019,October,USA,37.09024,-95.712891
